Id,Rate,Comment
140,6,"
Tooo long Tooo much like 2001 Add a bit of event Horizon Dark star
Black hole Armageddon Space 1999 Star trekking.... The one. With god All that was missing was Bruce Willis and batman, sorry Alfred did
appeared Enjoyed it trough far to many plagiarism'sExpected something better than space, that was really dull Gravity
wasn't strong enough Lost in space was more dynamic and scientifically
more inaccurate HAL2000 unit. Robbie the robot was missing. Needed a
Panama airplane somewhere Kubrick did film The Apollo Moon landingsWhere was room 237?
"
141,7,"
Great music. An extremely talented cast. Amazing special effects.
Captivating issues to contemplate. So why do I think I will not ponder
this film long after I have viewed it? The story is convoluted, though
interesting. All the drama and mystery and intrigue leads to a finale
that tells us what? Well, not really much. But it's a fun trip getting
there.I liked many of the characters. And I was invested in their problems
and tragedies. But the final ""explanation"" of the film's phenomena has
a ""Sixth Sense"" feeling to it. I say see this film for its good points, but don't expect the
groundbreaking impact of Kubrick's ""2001"" or the atmospherics of ""Blade
Runner"" or the thrilling ride of ""Close Encounters of the Third Kind"".
"
142,4,"
While the movie was visually great, and despite the fact I saw the
movie in Sydney IMAX theater which is one of the greatest screens in
the world, the movie was one of the most boring pictures I have ever
seen in my life.To me, it seems that the writers (including Nolan) was heard some
shallow aspects of modern physics, relativity, and quantum mechanics,
without any understanding and tried hopelessly to visualize them. The
result is ridiculous especially using so called ""Strings"" to make a
disruption in time-space, or flying fast through a black hole. I am not
a physicist but have the school level understanding of black-holes.TARS was the most inefficient and crippled robot one can ever imagine
even with today's standards. and why they did send real persons to
another galaxy instead of robots?! Even in our galaxy we send robots
for decades to live on MARS before we send a real human.The list can go on and on. While I love 'Inspection' and 'The Dark
Knight' and watched each of them more than ten times, I will NEVER go
back and watch interstellar again. Even the first time was waste of
time and money.PS: Guys PLEASE do not compare it to '2001: a space odyssey'. Kubrick
creation is and will remain a masterpiece in sci-fi genre and was and
is very accurate and consistent to knowledge and based on Arthur C.
Clarke novel.
"
143,3,"
Initially, this movie was an interesting approach to a well-worn
plot... Environmental disaster causes colonization in space... The dust
bowl setting was convincing and we wanted to sympathize with the
engineer turned farmer and his family. A series of bizarre occurrences
lead to a dash to save the world as we know it... And all science from
the sci fi deserts us about halfway in... Apparently it's now
sufficient to use a few familiar phrases... Relativity, wormhole,
Gravity, space time continuum... Without actually tying any of it to a
remotely possible set of scenarios... Where psychic connections, love
conquers all and a little morse code suspend all science or reality and
the good guys miraculously survive and conquer.
"
144,2,"
I had a lot of science-loving friends tell me this was a cool movie
with lots of cool science in it. So there's one opinion. Rebuttal: This movie has a lot of theoretical science in it. We're not
talking about lab-tested, data-driven, peer-reviewed, researched,
non-sexy, ""Go NASA!"" science. We're talking maybe this could work based
on quantum physics, postulate, postulate. Maybe I've read too much
science fiction based on these concepts, but I was not impressed.
Rather, increasingly mystified and annoyed. Really? Really?!And, what this movie severely lacks is any kind of sense-making story.I, like the protagonist's daughter, never got over the fact that this
single Dad thought it would be more fun to play space cowboy than to
try to help his kids contend with life on a dying planet. What an
asshole.The movie clearly points out (in dialog by the protagonist) that it
makes no sense for this guy to be the one to be called into space. His
qualifications, as far as we know, include crashing a plane.But, he's the one who has to save the world. And he's game (a lot more
fun than farming). How convenient.It all felt very heartless. It's great if you happen to be that one
pivotal guy (pick me! pick me!) and sucks to be everybody else.Also, despite the fact that the movie has two smart women scientists in
it, it barely passes the Bechdel test (does talking to a recording
count?).One of the women is there to be our protagonist's love interest. And
the love of her life dies. How convenient.I also admit to a personal pet peeve when stories venture too far out
into space, when the ""science,"" enters into the territory of science
fiction and we don't get any aliens. Seems like a failure of
imagination to me. Meanwhile, we (humanity) just landed on an asteroid and we're on our
way to explore Pluto at the farthest edges of our galaxy! IRL! This
exploration based on and made possible by nuts and bolts, measure test,
measure test, science blows anything that happened in Interstellar
away.Strongly prefer ""Gravity"" for a good space movie. Maybe it didn't get
all the science right, but it looked cool AND told a great story.I recently read Mary Robinette Kowal's novella ""The Lady Astronaut of
Mars."" This awesome story  which also involves a choice between
personal dreams and the excitement of space exploration and staying
behind and supporting loved ones  would make a fantastic movie and it
has a lot of heart.
"
145,1,"
Really without details don't waste your money!!. I saw this movie in
IMAX and really there is nothing good in this movie.picture 1*;sound (Philip Glass from watchman 10*) ?*;story 2*;way the story is given to us -10*;logical error -100*; Really I love quantum theory but pointing logical errors I don't refer
to quantum theory, this movie is simply a 3h of melodrama.- 1h about the food is ending?? (imagine the ""The Day After Tomorrow""
with the 1h intro about deadly force of cold)- In one part of the movie the two people are traveling on foot faster
than starship that is send after them !!- You can catch the drone by laptop, when you driving a old car, but
you can't stop space ship having 2 supercomputers!!- Apparently in the future GTA is no problem because even the hangars
do not have security?? No wait you have to use card and thats all the
fly control , and the crew is sleeping?? There is plenty of others
logical errors that cant let you watch the move so don't waste your
money . !!You Were Warned!!
"
146,1,"
i don't know why the planet staying near at the black hole would not be
absorbed by the black hole. and i don't understand why the black hole
can flash. i means though some energy can escape from the black hole.
but the visible light does not have the enough energy i guest. there
are other very obvious mistakes. Haha. it is said that the hero gets in
the 5D space. let us make an example. in 1D world the ant would be
blocked by a spot. however, when the ant get into the 2D world, the
spot would not be the block anymore, which means the block in lower
dimension would not be the block anymore in a higher dimension. thus,
if the hero gets in the 4D world, i don't think he would be block in
the black hole. and he gets in the 5D world~~~~ haha...
"
147,5,"
- Definitely better than Gravity, for me.- Bit slow for a long movie, almost fell asleep.- The background music was so loud, couldn't hear some dialogs.- Just because you travel at speed of light, I don't agree you age
slower. I don't think Einstein meant this by his special theory of
relativity, but if he did, I don't agree with him either.- Liked Matthew's action.- Matt Damon should not have accepted his role :) especially with
Bourne series coming up next year.- Bottom line, you may not be disappointed, but you may not be overly
impressed either.
"
148,6,"
Yet another Nolan's film. With all the flaw and strong sides
(scientific accuracy not being one of them). There are many
questionable moments in the plot, related to the characters, such as
why wouldn't a man wish to send his sick child to a safer place? What's
the message of the film - don't leave your beloved ones behind? Don't
mess with your mother-planet?But most annoying were to me personally the scientific inaccuracies.
Sending a message back from the event horizon just like that? Yeah,
right!... Tidal forces of such a magnitude that cause such an
incredible waves, yet, they don't tear the planet apart? Or at least
heat to boiling temperatures? Shall I continue? Authors should have
hired a college student as scientific consultant.There's one things I dislike more than stupid movies - stupid movies
that pretend to be smart. Other than that it's nicely filmed and
played, although nothing extraordinary.
"
149,2,"
Science: completely implausible Plot: dull, tedious Acting: wooden Best
scene: when Cooper is saying goodbye to his daughter and his wristwatch
jumps back from 9.02 to 8.20 This film is possible entertainment for
the feeble-minded. Overall, overwhelming disappointment considering the
lengthy positive reviews written by supposedly intelligent people. Why
waste so much energy. A shame it is digital because if the movie was on
celluloid at least it would burn well. Not a patch on 2001. This film
doesn't deserve 10 lines of review. I have stated my case precisely and
it would be pointless to add anything. This movie is about an hour too
long.
"
150,1,"
The various merits or demerits of Christopher Nolan's style of
film-making is beside the point.This was the worst plotted and written major sci-fi film I have ever
paid good money to see. Having seen it a few months ago now, that
response firmly stays with me. To be sure, it had sumptuous production
values and committed performances but this film cannot be considered
serious sci-fi for how poorly it was plotted and written. I read that
it had been written with serious scientific input from experts on black
holes but that didn't show to me.Now I like space opera and I also like sci-fi films with ideas, the
bigger the better. Black holes are incredibly complicated phenomena for
the eggheads to understand, let alone the average or even the serious
film-goer. Black holes also speculatively throw up all sorts of
illogical ideas about their nature, which cause headaches for the
scientists but which can be fun to work through on the silver screen. I
wanted to like this film. I don't need my sci-fi to make perfect sense. I love Kubrick's 2001. I
like the mystery and awe engendered by contemplating the cosmos,
whether philosophically or dramatically. I just felt as I watched this
film how my intelligence was being increasingly insulted by logical
non-sequiturs of plot and character - even allowing for a scenario
involving black holes where all kinds of paradoxes could and should be
thrown at the characters and played around with - which were in my
judgement the result of plain bad or lazy writing. This script had it
not been written by the Nolans would never in my opinion have been
passed in a film school project, let alone made into a big-budget film.
I have ticked the box about the spoilers alert but I am not sure I have
any spoilers to spill. It was a few months ago that I saw the film and
I can now barely remember the plot because it made no sense to me on
any level at the time. Even if a plot isn't easy to understand and
appears illogical, and once again I re-iterate that with the inherent
nature of the subject we are talking about metaphysical paradoxes here
big-time, it ought to have an inner logic, make an inner sense. This
was just a script-writing mess as far I could judge it. Incidentally, watching his Batman film I thought there was some very
lazy plotting in that too, so this wasn't a one off. Does no one in
Hollywood care anymore about good writing? Are major films now all
about 'never mind the quality feel the width'?
"
151,1,"
This was a corker ... Mathew Maconnaghay painted a strange colour
yellow for most of the film ... He also has a really badly put on
accent ( god knows what its supposed to be ) ... Family Family Family
Hollywood can only drivel on about Family ... The ONLY decent acting in
this came from John Lithgow who mak=de an early exit ... The plot is
chucked together from the usual suspects ... The director obviously
watched 2001 too often ... The time anomaly at the end seems to be a K
hole ... I mean !!! ... Get over it ... This is seriously mediocre time
filler ... There is no intelligence going on here, just the usual
Hollywood drivel ... Uninspired visuals ... And a serious lack of
imagination ... I spent nearly 3 hours on this thing as I thought it
may pay off in the end ... I was soooooo wrong Vapid and insulting
"
152,1,"
just hate Nolan; or Nolan-lovers should I say! constant bombardment of
science humbug (correspondence to theory is not the point). contrast it
with the silence of 2001! contrast it with the film it tries to
imitate. Now an average sci-fi story is elevated into the rank of
greatest films, without even a solid cinematic base, except those
visuals and effects that become a standard technical expertise.You science-geniuses all needed this information overload to accept a
not-even average story as a cinematic masterpiece. How I hope the days
come when this movie shall share its honorable place in the dustbin of
history alongside Battlefield Earth or Armageddon etc., when the Nolan
fanboys and its industrial franchise fade away.
"
153,5,"
I was looking forward to this movie, with its elements of adventure and
discoveries during interstellar travel. But the movie has too many
unbelievable plot elements that ruined the experience for me. The
superb music, the special effects and the actors saved it from being a
disaster. Here are some of the indigestibles.When Cooper is fighting with Dr. Mann, the spacecraft coming to save
him is flying *underneath* a rock formation. But I do not remember from
other scenes that it actually contained these caves. Not so nice.More problematic is that we were led to believe the method of
hibernation: sit in a fluid, lie down, and somebody else zips the bag.
Apparently there was no problem with suffocation, even without an
oxygen mask? Also, we are to believe that if the pod is opened, the bag
is unzipped, and somebody sits you up, you will just wake up with all
our memories in tact immediately? Unbelievable. Besides, how did Dr.
Mann zip his bag and close his pod?Worst, touching at the core of the movie, Cooper discovered a binary
code in his daughter's room, apparently coming from ""the others""
(postulated 4 dimensional creatures). With this information, he finds
the NASA quarter and is invited to join the space mission. Later, it is
suggested that it was he himself communicating the code to himself,
while he was being trapped in the 4 dimensional room. Yet, in another
scene, he tried to convince his daughter not to let him go (because now
he knows that he will get trapped). These two messages are clearly
contradictory. Besides the time loop paradox that it involves: how
could he communicate the coordinates of the NASA quarters to himself
BEFORE he left, in order to leave? And then get trapped in the 4
dimensional room, so he could try to PREVENT himself to leave? (Even
the last part alone, is paradoxical, because he could only warn himself
because he left, and so how could he not leave?) This unexplained
paradox ruins the movie for me. I found it unbelievable that Prof. Brand would lie about his findings,
in order to be able to motivate the crew. I believe that he should have
been honest, in order to INCREASE the success of the mission. I believe
people can make moral decisions with full information. If it was
impossible to return, it would only make it more important to succeed
in colonizing another planet. He deceived them in believing that he
could not solve the equations that would tell him how to return, but
that he could solve them before they returned. Prof. Brand had in fact
solved the equations and it had told him that it was impossible (!) to
come back. Therefore, Cooper's daughter, when she found out about this
deception on Prof. Brand's death bed, could never find out if her
father knew before he left that he would not be able to return. Later
she discovered that her father was communicating to her through the
watch, and she was hoping for his return despite Prof. Brand's belief.
Why? There was no mention of anybody negating Prof. Brand's results.
Unbelievable.Then, at last, it turned out, that it WAS possible to return and Prof.
Brand had been WRONG! Also very unlikely and unbelievable. In a
scientific team, results are checked and tested. So, even if Prof.
Brand believed it was impossible to return, now we know that he was
wrong. So, if his conclusions had been checked, another solution could
have been found.In fact, without knowing anything further about the movie than its
title, I theorized that the crew would end up colonizing another planet
as the ONLY survivors (and I would love to see how they discovered this
for themselves). I was wrong, but Prof. Brand believed it, so I wasn't
that stupid, was I? The movie did not deliver, though. I have more objections to the movie, such as the bleak portrayal of the
""inhabitable"" planets. If we will ever be able to do interstellar
travel, we'll have a good idea for what kind of planet we are looking
for. We will have very sensitive telescopes and computers that analyze
the data of a 720 degree (i.e. full 3D range) input channel and gives
us exact data about atmospheres of planets within range (tens of light
years). It was disappointing that a lot of interesting aspects of interstellar
travel and colonizing have not been touched upon in this movie. We
might find life forms much different from ours and it will be
challenging to live in harmony with them during colonization.I wish I could be more positive about this movie as I had high hopes
for it. And although now I would not recommend this movie to any SF
movie lover, because of the highly problematic plot, I found the actors
proficient and skillful. They made the psychological and interpersonal
aspects of the plot acceptable, so that I conclude that the characters
were sufficiently detailed and human for my taste. It's what I've
missed of vision that prevents me from enjoying what was visible.
"
154,2,"
I don't get the reviews of this film! The last 30 minutes or so brought
back memories of the bizarre ending to Knowing. What was destroying the
Earth? How was the lead saved near Saturn? How did 23 years pass in the
time on the planet? How did our leading man keep his tan for so long??
I'm also not sure why when the face visor was cracked was there a
struggle for air or why it took Brand so long to find him... They were
only walking distance and down a small hill! I loved Christopher Nolans
Batman trilogy but something went wrong here. It was a horrid piece
with too many inconsistencies. I know one should suspend belief in a
movie but seriously! Sadly, I will never claim back those 2 hours and
49 minutes. At least previews were decent!! This was reminiscent of The
Tree of life just so bad!
"
155,5,"
Interstellar represents Christopher Nolan exceeding his reach in his
obsession with difficult, gamechanging films. What he achieved with
Inception he has bungled here with a overlong narrative that alternates
between confusing and lazy.At 2hrs 50, this movie goes on far too long, and I blame the film's
ridiculous indulgence in unnecessary subplots. Who cares if Brand is in
love with one of the missing scientists? Who cares if Cooper's grandson
has a cough? None of it contributes to the film's main plot (which
itself is hard to describe after all the nonsensical science jibber).
No original screenplay should be as long as this film is.The script is very lazy in some sections - if something needs to be
somewhere, or explode, or if a realisation needs to be had, it will
happen, no matter whether it makes sense or not. At times, Nolan
attempts to explain why it happened but his explanations often just
muddy the waters. He indulges in far too many deus ex machina for one
film, and the film's final act follows Edge of Tomorrow and Fury to be
one of the sappiest and most predictable endings to ruin what was meant
to be a sad moment.The acting is fairly good, though the tanned, drawling McConaughey is
horrendously miscast as an intellectual astronaut (though he plays the
loving father with far greater conviction). Michael Caine plays Michael
Caine for the 6th Nolan film in a row, and despite being seen in scenes
23 years apart he looks exactly the same. At this point, Michael Caine
needs to start demonstrating some range or be remembered as one of the
weakest recipients of two Academy Awards in history. Matt Damon and
Casey Affleck are very memorable in brief scenes, with well-defined and
motivated characters. Anne Hathaway is the film's highlight, as the
film's female lead, she is fully at home in a spacesuit and providing
much of the film's emotion. Jessica Chastain and McKenzie Foy are both
hauntingly effective as Murph, with Chastain in particular giving a
very impressive and emotional turn.Soundwise, Interstellar plays one giant crescendo, but once your ears
adjust its a rather nice score. Visually, I am disappointed to note
that Interstellar brought absolutely nothing new to the table -
everything they did had been done before or better in Inception,
Gravity or even Apollo 13. The plants looked beautiful, but there is
nothing groundbreaking about creating water or ice through CGI. The
visuals of outer space were lazily constructed save for the black hole,
which would have been forgivable if Gravity wasn't such a recent
memory.However, at the end of the day there is something unshakeably beautiful
or memorable about Interstellar, and that feeling is the only thing
that keeps Interstellar in positive review territory. Ultimately, this
film will become one of those ""I'm glad I saw it, but I won't watch it
again"".
"
156,5,"
I enjoyed the basics of this movie although it does have lots of areas
that you could pull to pieces, but in saying that I would probably have
given it a 9/10 as it did keep me interested until the end.....HOWEVER>>>>>> What caused me to mark it down to a 6 was the awful
music!!! to say that it was loud is not really accurate, it is
OVERPOWERING! In some parts you struggle to hear the dialogue it was
that bad. I find it very disappointing when a director resorts to using
this type of cheap trick(the loudness) to crank up the tension, when
honestly the action, the acting and the plot coupled with the excellent
CGI would have been enough, for me it had the opposite effect, it
actually caused me to lose interest as the movie went on because of the
annoyance factor.I should have heeded the warning as this director used the same trick,
to a lesser degree on Gravity, which I thought again used loud
music/sound when it wasn't necessary.Sadly, I will not watch this movie again because of the sound, but if
it is re-scored or even reissued without the music, then I will
definitely watch it again.As with everything, you should make your own mind up and decide what
you think.
"
157,1,"
I watched this painfully boring movie to the end - All 2+ hours of it.
Everything in the film rang false. I am not as erudite as some of the
negative reviewers here but they are not lying.I hate movies that try to press the same fake emotional buttons over
and over again. Parental guilt, love, duty, heroism, blah, blah, blah.
This movie does it at every turn until you can't stop groaning.The suspension of disbelief. What every work of fiction aims to
achieve. Once that stops working you're in trouble. No you can't drive
a truck at top speed with a flat tire through a cornfield without
losing control. No corn is not harvested by a combine and left lying on
the ground when it is green. Then there were a lot of scientific facts
that were ignored or glossed over about space travel. I'm not a
scientist but there were many times when I said, ""Wait, what, that
doesn't sound right"". Anyway I think I reached the minimum number of
characters so I can stop. Do not pay to see this movie. Enough said.
"
158,1,"
When I watch a movie, I want to be drawn in, care about the people and
their problems, feel the urgency of the situation, experience the awe
when exploring new worlds. This movie did not do the for me.I really could not relate to the characters. I did not care what
happened to them, how they felt, what they had to go through. None of
them seemed very likable either. The father (a redneck with a southern
drawl  that strangely disappeared during the movie) did not seem to
care a lot about his children. The son grew up to be an asshole who did
not seem to care about his wife (a submissive domestic drudge who
seemed to be afraid of her husband) and child. And the daughter, Murph,
never got over the fact that her father left her to save the world (no
less!) and was totally messed up. One moment you see the son and
daughter as children, the next time you see them they are grown-ups, at
least 25 years older and you do not have a clue what happened to them
in between. And quite frankly, you do not give a damn either.The situation: planet Earth is dying and the few people left, are
farmers now. Do we see anything of our dying planet? No. Just a
farmhouse in a dusty cornfield in the middle of Mid-West Nowhere. Does
it look ominous? Not in the least. Does it look like a disaster waiting
around the corner? No. All the rednecks still seem to be driving their
enormous gas-guzzlers (where do they get the fuel from?) and they do
not seem to bother about the world, let alone doing noticeable effort
to find a solution. So does it look like a problem that urgently need
to be solved. Not really.But wait, dad has dashed off in a space ship to find another world, so
probably they spent decades of their time watching the sky for him to
return with the good news, rather than assuming that he maybe never
will come back and that it maybe would be a good idea to see if they in
the mean time could find some solution. But no. They all wait for our
hero to come back through the black hole to tell them that there is a
paradise waiting at the other side of the hole.Daddy in the mean time, spends his days with two colleagues that he
does not really like, exploring outer space. And guess what, after a
refreshing 2-year nap, they go through the hole and what do they find?
Water World and Ice Age. Really? This is the best they could come up
with? Is it stunning? No, I have seen water and ice before.Well, to cut a (very) long story short, after exploring those worlds
daddy jumps in the black hole and guess what? He tumbles right into his
old house in the cornfields and lands behind the bookshelves in his
daughter's bedroom. It all looks like a bad LSD-trip. But somehow he
manages to manipulate the hands of a watch, and his daughter
immediately understands that that is a message from her father and
saves the world.The whole story is wrapped up with some sentiment and our hero flies
off to the woman he never liked, but who now suddenly seem to be the
love of his life. The end.This all is laced with pseudo-scientific gibberish and endless,
endless, endless scenes about people in a spaceship arguing and people
in the farmhouse in the dusty cornfield arguing.If a gigantic meteor would have fallen out of the sky and would have
destroyed that farmhouse and that darn dusty cornfield to begin with, I
could have spent the remaining 3 hours to something more useful. And I
couldn't have cared less.
"
159,1,"
This is by far the worst movie of 2014.Character development doesn't exists in this movie, nor any interesting
dialogs or any real suspense moments. The plot is dragging way too long
and doesn't reach any climax. If the film would have been 90 minutes
long instead of 170 it could have been less of a torture.The film score is irritating and dull, which suits the banal script
just fine.I don't remember when was the last time I left the theater so angry and
bored before watching this movie. Just stay away from this banal piece
of nothing.
"
160,1,"
I'm guessing that a lot of the people who went to this movie - and
wrote reviews - are science fiction buffs. I am not. But I do like a
good movie, regardless of it's genre. And this wasn't it.The only thing that held the movie even slightly together is Matthew
McConaughey. Otherwise it was totally unbelievable. The weather
disturbances that are ruining the planet are unexplained. The
protagonist just accidentally running into a secret NASA station is
unbelievable. The 5 dimension thing is a cop out. Given the large
budget for this movie, I'm surprised that they didn't have the kind of
detailed and interesting settings and backdrops that one might expect
in a movie that is almost 3 hours long.And don't forget to bring your hearing protectors. I luckily did bring
mine since I have tinnitus in my ears. Even my 28db mufflers were
barely enough, as the seats were shaking slightly in a few scenes. I
think that it is irresponsible for the movie industry to have such
dangerously high db levels with no notification or advisory label.Matthew McConaughey is at the peak of his career and has done some
really great movies over the past few years. This one, however, is just
a throw away.
"
161,1,"
I bought the studio hype that this was the most ""intelligent"" sic-fi
film since 2001: Space Odyssey. What an insult to Kubrick. LIke the
Dark Knight Rise, Interstellar is 3 long hours of torture, from the
moment McCanaughey accidentally stumbles upon NASA's gigantic secret
launch operation -- just happens to be in a cornfield a few miles from
him, and they never noticed! And by the way, as long as you're here,
could you pilot the mission? We just never had any plans for a pilot
until you barged in! Christ, this is a plot device from Gilligan's
Island.The rest of this turkey might be summed up as ""weepy soap opera in
outer space."" Too many schmaltzy tearjerker scenes for an ""intelligent""
sic-fi film. Anne Hathaway acts more like a chirpy cheerleader than a
seasoned astronaut. And like Dark Knight, the plot is so convoluted
that I eventually gave up caring. The final scenes, perhaps somewhat
inspired by 2001, are lame and pretentious.I'd rather be waterboarded than suffer through Nolan's dreck again. I'm
giving this 1 star to balance the ludicrous spate of 9-10 star reviews.
No wonder American film has gone downhill, when the audiences mistake a
pretentious, poorly written fruit pie for the ""masterpiece of a genius""
"
162,3,"
I'm not used to write reviews, but this time i must put down something
because i had been waiting for this movie, i really wanted to watch it.Yes, i was a bit surprised reading negative comments on IMDb, but it
helped: after that i was a little suspicious, something like ""OK, maybe
it's not a masterpiece..."". Anyway, let's give a chance and go to the
theater.12 meters screen, Dolby 7.1, popcorn, nothing is missing, turn off the
lights and let's start.. Special effects: they're OK, nothing amazing but they're OK. But
that's the good part. Now the rest.. Plot: childish. 5 minutes before you know what it's going to happen,
always. And holes everywhere.. Dialogues: predictable, flat, no humor, no irony.. Acting: impossible to judge, too damn stupid plot, every actor has 7
words at max to say for every scene. And after the first two hours you
struggle to stay awake, no way to judge acting.. Science facts: hilarious. Probably written by the same child
responsible for the plot.. Length: almost 3 hours, a real torture considering quality.. Soundtrack: music tries to put some tension in the movie but there
are no miracles and sometimes results are even disturbing.. Final: ""How long have we recorded until now? 3 hours already? OK,
maybe it's enough, let's finish it somehow, any idea? But a short one,
please"". That's all. Mr. Christopher Nolan gave us Inception, a great movie, and
now nothing more than a soup: take something from 2001 A Space
Oddissey, mix it with several SF movies, serve all together with no
virtue, many errors and you got Interstellar.There's no trace of masterpiece here (as it's possible to read in some
comments): Interstellar is arrogant, pedantic, confused, self-indulgent
and very, hardly, deeply, terribly boring.And it doesn't matter if Matthew McConaughey, Matt Damon, Michael Caine
or Anne Hathaway appear: on the contrary, it's a real waste of talents,
we all know it would be possible to make a great movie with this cast.I'm going to write something that i didn't imagine: avoid it. I took 3
hours of my life and throwed them down the drain. Be smarter.
"
163,2,"
Christopher Nolan tears the environment a new one. Thanks, Nolan. You
could discuss this movie in terms of its irrationality, its flawed
physics, its attempts at explaining time travel and worm-holes (in a
movie packed with plot-holes), its pseudo-scientific explanation of the
'existence' of love in humans, its overuse of the already overused
'Don't go gently into that good night' a poem both politically suspect
and over-familiar to the point of banality. You could discuss it in
terms of its stereotypical absence of mum and the struggling hero dad,
its general bag-of-spanners story-telling ability throw stuff in and
rattle it about. The fact it's a whole load of old twaddle told in a
way that's an insult to the intelligence. But what really pisses me off
is its stance on our environment. Early on Matthew McConaughey, our
hero, the protagonist whom we follow throughout the movie, says:
Mankind was born on Earth. It was never meant to die here. His
intellectual mentor, Michael Caine, says: We're not meant to save the
world. We're meant to leave it. THIS this let's screw up the world and
then move on attitude what is destroying the world around us as we sit
here is condoned, confirmed, seen as inevitable, advocated as the way
to go. Let's find another planet. Settle there. Screw it up too. Move
on again. Reactionary, Republican, right-wing manifest destiny across
the universe. Yeah. Good one, Nolan.
"
164,3,"
Went in to see this film this afternoon and had high hopes. After an
hour in I realised that I nearly nodded off twice as the music score
playing over the beginning quarter of the film was sleep inducing to
say the least. It didn't help that not one of the characters was
engaging in anyway possible, especially Matthew McConaughey's drawling
southern accent. It seem to take an age for anything to happen in the film, and finally
when there was some movement, director Nolan slows everything back down
to a snail's pace. I'm not saying the film was ridiculous as it is purely science fiction
which I normally enjoy, but this was a challenge for me to stay till
the end of the film ,-( two gents in the theatre walked out just over
an hour in and never came back), I unfortunately didn't have the
hindsight to do the same, otherwise I would have got over three hours
of my life back to watch two good films.When the film is released on DVD/BR, I hope they have a cut that last's
about 1hour and 20m which should make it an entertaining film without
the huge unnecessary spongy filling.
"
165,9,"
INTERSTELLAR (2014) ***1/2 Matthew McConaughey, Anne Hathaway, Jessica
Chastain, Michael Caine, John Lithgow, Ellen Burstyn, Mackenzie Foy,
Matt Damon, Casey Affleck, Wes Bentley, David Gyasi, William Devane,
Leah Cairns, Topher Grace, Timothy Chalamet, Brooke Smith (voice of
Bill Irwin) Filmmaker Christopher Nolan's valentine (of sorts) to 2001:
A SPACE ODYSSEY (and to his daughter) continues his streak of audacious
sense of space (literally) and the inner human spirit : set in the
bleak future Earth is on the descent of humanity with continuous food
demands and climate change with one Hail Mary of a plan by NASA - send
a small crew thru a wormhole (just go with it) to see if 'they' can
help us. A grand ensemble of talent assembled but it is truly a shining
moment of cool-as-a-cucumber and deeply felt performance by McConaughey
as the astronaut/pilot of the journey into the realms of desperation,
anchoring the film with a transfixing turn (largely due to his
interplay with young talented actress Foy as his daughter - later
played with clear-eyed intensity by Chastain), no easy task with all
the eye candy visuals that are indeed awe inspiring and a kissing
cousin to GRAVITY for sheer amazement (one must see it on a big screen
and IMAX would be a start as it was filmed in the medium). Hathaway has
a few moments as well particularly with her brainy scientist dad Caine
(a Nolan regular). The true stars are the breathtaking cinematography
by Hoyte Van Hoytema, a stellar score by frequent collaborator Hans
Zimmer and fantastic visual effects by literally dozens of geniuses.
The only stumbling block is its slightly heavy handed message getting
across but the Twilight Zone-ish final act makes up for it in spades.
WOW!
"
166,6,"
After the success of his Batman trilogy, Christopher Nolan went back to
doing original stuff for the first time in a few years after Inception
became his highest grossing original film in the USA/Canada. The
result? Interstellar, a movie that has to be seen in IMAX and on bluray
to enjoy the amazing visual effects and sound mix. The movie runs a bit
longer than his last long movie, The Dark Knight Rises, but unlike that
movie, there's not a lot of action. Too many lines of dialogue which
can be hard to understand, and lack of romance. The music by Hans
Zimmer is worth a listen on Spotify, and the robot in the movie is very
funny.
"
167,9,"
A great science fiction movie, with an amazing plot and of course a
very talented director. No one can deny Nolan's talent, all his movies
are well made and Interstellar is one of his best works. Some people
say that the plot of Interstellar is confusing but I don't think so
(maybe because I've watched this movie more than 20 times). Still we
can say that it's a bit confusing if you're watching it for the first
time but don't worry it won't be confusing after the second or the
third watch.Something that really impressed me in the movie is that when something
explodes in space, there is no sound, simply because of the vacuum. In
many science fiction movies the audience can hear the sound of
explosion, gun fire,etc in space, which makes it look less realistic.
But in Interstellar every single thing is physically correct, because
Nolan had many consultations with physicists to make the movie
realistic.Interstellar has many emotional and dramatic scenes too which makes it
different from the other science fiction movies. It shows us the pain
of a father who left his kids and went to space to search for a new
home for the mankind.Interstellar is an amazing movie and it's definitely worth watching.
"
